Designator,Comment,Center-X(mil),Center-Y(mil),Layer,Rotation
J1,CX90B1-24P,165.874,253.315,TopLayer,270
R18,RC0603FR-0710KL,867.444,221.248,TopLayer,0
R17,MCR03ERTJ000,1829.34,74.309,TopLayer,270
C8,CL10B474KA8VPNC,475.326,457.724,TopLayer,270
R16,MCR03ERTJ000,1929.34,74.197,TopLayer,270
C5,8.85012E+11,650.111,53.364,TopLayer,180
R15,MCR03ERTJ000,2029.34,74.309,TopLayer,270
R14,CRCW06035K10JNEA,855.476,487.849,TopLayer,180
R13,CRCW06035K10JNEA,855.476,569.002,TopLayer,180
R12,RMCF0603FT47R0,2223.741,319.812,TopLayer,90
C7,8.85012E+11,2302.001,326.321,TopLayer,90
C6,8.85012E+11,1010.053,249.82,TopLayer,90
R11,RC0603FR-072K2L,1107.444,579.047,TopLayer,0
D1,LTST-C190GKT,1107.444,521.054,TopLayer,180
X1,X49SM73728MSD2SC-1,1154.334,-3.139,TopLayer,0
U3,TFBS4650-TR1,2385.535,250.299,TopLayer,90
U2,MCP2120T-I/SL,1228.185,292.977,TopLayer,90
U1,MCP2221A-I/SL,657,283.209,TopLayer,180
SW1,A6S-3102-H,1929.34,137.125,TopLayer,180
R10,CRCW080510R0JNEA,408.397,245.76,TopLayer,0
R9,CRCW080510R0JNEA,408.397,166.411,TopLayer,0
R8,RC0603FR-0710KL,1555.983,349.339,TopLayer,0
R7,RC0603FR-0710KL,1557.779,171.052,TopLayer,0
R6,RC0603FR-0710KL,1549.991,558.463,TopLayer,0
R5,RC0805FR-0710KL,1770.937,422.447,TopLayer,90
R4,RC0805FR-0710KL,1878.997,422.536,TopLayer,90
R3,RC0805FR-0710KL,1958.867,422.781,TopLayer,90
R2,RC0805FR-0710KL,2081.692,422.965,TopLayer,270
R1,RNCP1206FTD10R0,2288.992,68.054,TopLayer,270
C4,C1608X5R1C475K080AC,388.712,401.622,TopLayer,270
C3,CC0402JRNPO9BN360,1193,126.617,TopLayer,0
C2,CC0402JRNPO9BN360,1112.043,125.397,TopLayer,0
C1,C1608X5R1C475K080AC,2311.631,-75.118,TopLayer,0
